season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2026,1,Air Force,Duquesne,0.4,-0.51,0.51,0.0
2026,1,Akron,Wake Forest,0.02,0.05,0.09,0.48
2026,1,Alabama,East Carolina,0.29,0.22,0.34,-0.2
2026,1,App State,Maine,0.61,0.74,0.52,0.0
2026,1,Arizona,Northern Arizona,0.22,0.23,0.3,0.0
2026,1,Arizona State,Morgan State,0.68,0.92,0.43,0.0
2026,1,Arkansas,North Alabama,0.18,0.57,-0.07,0.0
2026,1,Arkansas State,Memphis,0.13,0.22,0.21,0.49
2026,1,Arkansas State,Memphis,0.13,0.22,0.21,0.29
2026,1,Army,Bryant,0.69,-0.03,0.85,0.0
2026,1,Auburn,Baylor,0.03,0.11,-0.09,0.05
2026,1,Ball State,Ohio State,-0.24,-0.22,-0.27,0.67
2026,1,Baylor,Auburn,0.05,0.31,-0.26,0.03
2026,1,Boise State,Oregon,0.11,0.29,-0.02,0.28
2026,1,Boston College,Cincinnati,0.11,0.15,0.12,0.24
2026,1,Bowling Green,Tarleton State,0.03,0.56,-0.41,0.0
2026,1,Buffalo,UAlbany,0.15,0.2,-0.03,0.0
2026,1,BYU,Utah Tech,0.54,0.53,0.56,0.0
2026,1,California,UCLA,0.13,0.31,-0.07,0.42
2026,1,Central Michigan,New Mexico,-0.05,-0.11,0.12,0.22
2026,1,Charlotte,The Citadel,0.29,0.26,0.42,0.0
2026,1,Cincinnati,Boston College,0.24,0.19,0.27,0.11
2026,1,Clemson,LSU,-0.27,-0.36,-0.21,0.42
2026,1,Coastal Carolina,West Virginia,0.22,0.46,-0.21,0.13
2026,1,Colorado,Georgia Tech,0.05,0.07,0.02,0.07
2026,1,Colorado State,Wyoming,0.3,0.54,0.06,-0.03
2026,1,Delaware,Merrimack,0.4,0.52,0.24,0.0
2026,1,Duke,Tulane,-0.05,-0.17,0.11,0.0
2026,1,East Carolina,Alabama,-0.2,-0.04,-0.38,0.29
2026,1,Eastern Michigan,San José State,-0.03,0.03,0.0,0.13
2026,1,Eastern Michigan,San José State,-0.03,0.03,0.0,0.22
2026,1,Eastern Michigan,Sacramento State,0.06,0.28,-0.23,0.34
2026,1,Eastern Michigan,Sacramento State,0.06,0.28,-0.23,-0.08
2026,1,Florida,Florida Atlantic,0.62,0.92,0.45,0.11
2026,1,Florida Atlantic,Florida,0.11,0.15,0.04,0.62
2026,1,Florida International,South Florida,0.11,0.21,-0.07,-0.06
2026,1,Florida State,New Mexico State,0.29,0.38,0.33,0.42
2026,1,Florida State,New Mexico State,0.29,0.38,0.33,0.16
2026,1,Florida State,SMU,0.19,0.25,0.16,0.37
2026,1,Fresno State,USC,-0.34,-0.06,-0.28,0.33
2026,1,Fresno State,USC,-0.34,-0.06,-0.28,0.39
2026,1,Georgia,Tennessee State,0.74,0.79,0.69,0.0
2026,1,Georgia Southern,Charleston Southern,0.24,0.35,0.1,0.0
2026,1,Georgia State,North Carolina A&T,0.51,0.51,0.5,0.0
2026,1,Georgia Tech,Colorado,0.07,0.43,-0.26,0.05
2026,1,Hawai'i,Stanford,0.05,0.14,-0.08,0.33
2026,1,Hawai'i,Stanford,0.05,0.14,-0.08,0.02
2026,1,Hawai'i,UNLV,-0.06,-0.07,0.12,0.09
2026,1,Hawai'i,UNLV,-0.06,-0.07,0.12,0.16
2026,1,Houston,Oregon State,0.31,0.44,0.18,0.18
2026,1,Illinois,UAB,0.53,0.89,0.24,0.14
2026,1,Indiana,North Texas,0.65,1.64,0.13,0.13
2026,1,Iowa,Northern Illinois,0.06,0.09,0.19,-0.33
2026,1,Iowa State,Southeast Missouri State,0.24,0.39,0.18,0.0
2026,1,Jacksonville State,Eastern Kentucky,0.55,1.05,0.23,0.0
2026,1,Jacksonville State,North Dakota State,-0.32,-0.33,-0.3,0.22
2026,1,Jacksonville State,North Dakota State,-0.32,-0.33,-0.3,0.26
2026,1,James Madison,Liberty,0.28,0.39,0.21,0.03
2026,1,Kansas,Long Island University,0.57,1.16,0.32,0.0
2026,1,Kansas State,Nicholls,0.59,0.81,0.45,0.0
2026,1,Kennesaw State,West Georgia,0.29,0.14,0.41,0.0
2026,1,Kent State,South Carolina,-0.04,-0.06,-0.07,0.68
2026,1,Kentucky,Youngstown State,0.56,0.9,0.32,0.0
2026,1,Liberty,James Madison,0.03,0.24,-0.12,0.28
