season,week,poll,team,rank
2026,1,AP Top 25,Ohio State,1
2026,1,AP Top 25,Oregon,2
2026,1,AP Top 25,Georgia,3
2026,1,AP Top 25,Notre Dame,4
2026,1,AP Top 25,Texas,5
2026,1,AP Top 25,Indiana,6
2026,1,AP Top 25,Miami,7
2026,1,AP Top 25,Texas A&M,8
2026,1,AP Top 25,Ole Miss,9
2026,1,AP Top 25,Oklahoma,10
2026,1,AP Top 25,LSU,11
2026,1,AP Top 25,Texas Tech,12
2026,1,AP Top 25,Alabama,13
2026,1,AP Top 25,USC,14
2026,1,AP Top 25,BYU,14
2026,1,AP Top 25,Michigan,16
2026,1,AP Top 25,Washington,17
2026,1,AP Top 25,Penn State,18
2026,1,AP Top 25,SMU,19
2026,1,AP Top 25,Tennessee,20
2026,1,AP Top 25,Utah,21
2026,1,AP Top 25,Iowa,22
2026,1,AP Top 25,Houston,23
2026,1,AP Top 25,Louisville,24
2026,1,AP Top 25,Missouri,25
2026,4,AP Top 25,Texas,1
2026,4,AP Top 25,Georgia,2
2026,4,AP Top 25,Notre Dame,3
2026,4,AP Top 25,Ole Miss,4
2026,4,AP Top 25,Indiana,5
2026,4,AP Top 25,Miami,6
2026,4,AP Top 25,Ohio State,7
2026,4,AP Top 25,Alabama,8
2026,4,AP Top 25,BYU,9
2026,4,AP Top 25,LSU,10
2026,4,AP Top 25,Texas Tech,11
2026,4,AP Top 25,USC,12
2026,4,AP Top 25,Penn State,13
2026,4,AP Top 25,Tennessee,14
2026,4,AP Top 25,Utah,15
2026,4,AP Top 25,Louisville,16
2026,4,AP Top 25,Iowa,17
2026,4,AP Top 25,Michigan,18
2026,4,AP Top 25,Missouri,19
2026,4,AP Top 25,Oregon,20
2026,4,AP Top 25,Florida,21
2026,4,AP Top 25,SMU,22
2026,4,AP Top 25,Texas A&M,23
2026,4,AP Top 25,Mississippi State,24
2026,4,AP Top 25,Houston,25
2026,2,AP Top 25,Ohio State,1
2026,2,AP Top 25,Georgia,2
2026,2,AP Top 25,Notre Dame,3
2026,2,AP Top 25,Texas,4
2026,2,AP Top 25,Indiana,5
2026,2,AP Top 25,Oregon,6
2026,2,AP Top 25,Miami,7
2026,2,AP Top 25,LSU,8
2026,2,AP Top 25,Ole Miss,9
2026,2,AP Top 25,Texas A&M,10
2026,2,AP Top 25,Oklahoma,11
2026,2,AP Top 25,Alabama,12
2026,2,AP Top 25,Texas Tech,13
2026,2,AP Top 25,USC,14
2026,2,AP Top 25,BYU,15
2026,2,AP Top 25,Penn State,16
2026,2,AP Top 25,SMU,17
2026,2,AP Top 25,Tennessee,18
2026,2,AP Top 25,Washington,19
2026,2,AP Top 25,Utah,20
2026,2,AP Top 25,Iowa,21
2026,2,AP Top 25,Houston,22
2026,2,AP Top 25,Missouri,23
2026,2,AP Top 25,Louisville,24
2026,2,AP Top 25,Virginia,25
2026,3,AP Top 25,Texas,1
2026,3,AP Top 25,Georgia,2
2026,3,AP Top 25,Notre Dame,3
2026,3,AP Top 25,Indiana,4
2026,3,AP Top 25,Miami,5
2026,3,AP Top 25,Ohio State,6
2026,3,AP Top 25,LSU,7
2026,3,AP Top 25,Ole Miss,8
2026,3,AP Top 25,Texas A&M,9
2026,3,AP Top 25,Alabama,10
2026,3,AP Top 25,BYU,11
2026,3,AP Top 25,USC,12
2026,3,AP Top 25,Texas Tech,13
2026,3,AP Top 25,Penn State,14
2026,3,AP Top 25,Tennessee,15
2026,3,AP Top 25,SMU,16
2026,3,AP Top 25,Utah,17
2026,3,AP Top 25,Iowa,18
2026,3,AP Top 25,Michigan,19
2026,3,AP Top 25,Missouri,20
2026,3,AP Top 25,Oregon,21
2026,3,AP Top 25,Houston,22
2026,3,AP Top 25,Louisville,23
2026,3,AP Top 25,Oklahoma,24
2026,3,AP Top 25,Virginia,25
