date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2024-03-29,2024,MIL,NYM,3.0,1.0,0,1,Peralta,Quintana,2.0
2024-03-30,2024,MIL,NYM,7.0,6.0,0,1,Peguero,Severino,1.0
2024-03-31,2024,MIL,NYM,4.0,1.0,0,1,Rea,Megill,3.0
2024-04-02,2024,MIL,MIN,3.0,2.0,1,1,Peguero,Varland,1.0
2024-04-03,2024,MIL,MIN,3.0,7.0,1,0,Duarte,Payamps,-4.0
2024-04-05,2024,MIL,SEA,6.0,5.0,1,1,Uribe,Muñoz,1.0
2024-04-06,2024,MIL,SEA,3.0,5.0,1,0,Miller,Hall,-2.0
2024-04-07,2024,MIL,SEA,12.0,4.0,1,1,Rea,Hancock,8.0
2024-04-08,2024,MIL,CIN,8.0,10.0,0,0,Ashcraft,Ashby,-2.0
2024-04-09,2024,MIL,CIN,9.0,5.0,0,1,Ross,Montas,4.0
2024-04-10,2024,MIL,CIN,7.0,2.0,0,1,Wilson,Greene,5.0
2024-04-12,2024,MIL,BAL,11.0,1.0,0,1,Peralta,Wells,10.0
2024-04-13,2024,MIL,BAL,11.0,5.0,0,1,Peguero,Kremer,6.0
2024-04-14,2024,MIL,BAL,4.0,6.0,0,0,Cano,Uribe,-2.0
2024-04-15,2024,MIL,SDP,3.0,7.0,1,0,Musgrove,Ross,-4.0
2024-04-16,2024,MIL,SDP,3.0,6.0,1,0,Cease,Miley,-3.0
2024-04-17,2024,MIL,SDP,1.0,0.0,1,1,Uribe,King,1.0
2024-04-19,2024,MIL,STL,2.0,1.0,0,1,Payamps,Helsley,1.0
2024-04-20,2024,MIL,STL,12.0,5.0,0,1,Wilson,Mikolas,7.0
2024-04-21,2024,MIL,STL,2.0,0.0,0,1,Hudson,Gray,2.0
2024-04-22,2024,MIL,PIT,2.0,4.0,0,0,Jones,Ross,-2.0
2024-04-23,2024,MIL,PIT,1.0,2.0,0,0,Falter,Myers,-1.0
2024-04-24,2024,MIL,PIT,3.0,2.0,0,1,Hudson,Fleming,1.0
2024-04-25,2024,MIL,PIT,7.0,5.0,0,1,Koenig,Chapman,2.0
2024-04-26,2024,MIL,NYY,7.0,6.0,1,1,Koenig,Tonkin,1.0
2024-04-27,2024,MIL,NYY,3.0,15.0,1,0,Rodón,Ross,-12.0
2024-04-28,2024,MIL,NYY,5.0,15.0,1,0,Marinaccio,Uribe,-10.0
2024-04-29,2024,MIL,TBR,0.0,1.0,1,0,Pepiot,Wilson,-1.0
2024-04-30,2024,MIL,TBR,8.0,2.0,1,1,Peralta,Alexander,6.0
2024-05-01,2024,MIL,TBR,7.0,1.0,1,1,Rea,Eflin,6.0
2024-05-03,2024,MIL,CHC,3.0,1.0,0,1,Peguero,Alzolay,2.0
2024-05-04,2024,MIL,CHC,5.0,6.0,0,0,Taillon,Myers,-1.0
2024-05-05,2024,MIL,CHC,0.0,5.0,0,0,Assad,Peralta,-5.0
2024-05-06,2024,MIL,KCR,2.0,3.0,0,0,Anderson,Koenig,-1.0
2024-05-07,2024,MIL,KCR,6.0,5.0,0,1,Koenig,McArthur,1.0
2024-05-08,2024,MIL,KCR,4.0,6.0,0,0,Singer,Ross,-2.0
2024-05-09,2024,MIL,STL,7.0,1.0,1,1,Koenig,Gray,6.0
2024-05-10,2024,MIL,STL,11.0,2.0,1,1,Gasser,Lynn,9.0
2024-05-11,2024,MIL,STL,5.0,3.0,1,1,Milner,Kittredge,2.0
2024-05-12,2024,MIL,STL,3.0,4.0,1,0,Mikolas,Peguero,-1.0
2024-05-13,2024,MIL,PIT,6.0,8.0,1,0,Keller,Rea,-2.0
2024-05-14,2024,MIL,PIT,4.0,3.0,1,1,Ross,Priester,1.0
2024-05-15,2024,MIL,PIT,10.0,2.0,1,1,Gasser,Pérez,8.0
2024-05-17,2024,MIL,HOU,4.0,5.0,0,0,Brown,Peralta,-1.0
2024-05-18,2024,MIL,HOU,4.0,2.0,0,1,Milner,Verlander,2.0
2024-05-19,2024,MIL,HOU,4.0,9.0,0,0,Arrighetti,Rea,-5.0
2024-05-20,2024,MIL,MIA,2.0,3.0,0,0,Scott,White,-1.0
2024-05-21,2024,MIL,MIA,7.0,5.0,0,1,Myers,Puk,2.0
2024-05-22,2024,MIL,MIA,0.0,1.0,0,0,Luzardo,Peralta,-1.0
2024-05-24,2024,MIL,BOS,7.0,2.0,0,1,Wilson,Crawford,5.0
2024-05-25,2024,MIL,BOS,6.0,3.0,0,1,Rea,Pivetta,3.0
2024-05-26,2024,MIL,BOS,1.0,2.0,0,0,Slaten,Peguero,-1.0
2024-05-27,2024,MIL,CHC,5.0,1.0,1,1,Hudson,Leiter,4.0
2024-05-28,2024,MIL,CHC,3.0,6.0,1,0,Neris,Megill,-3.0
2024-05-29,2024,MIL,CHC,10.0,6.0,1,1,Koenig,Imanaga,4.0
2024-05-30,2024,MIL,CHC,6.0,4.0,1,1,Hudson,Little,2.0
2024-05-31,2024,MIL,CHW,12.0,5.0,1,1,Paredes,Soroka,7.0
2024-06-01,2024,MIL,CHW,4.0,3.0,1,1,Milner,Kopech,1.0
2024-06-02,2024,MIL,CHW,6.0,3.0,1,1,Peralta,Nastrini,3.0
2024-06-03,2024,MIL,PHI,1.0,3.0,0,0,Wheeler,Wilson,-2.0
2024-06-04,2024,MIL,PHI,1.0,2.0,0,0,Domínguez,Payamps,-1.0
2024-06-05,2024,MIL,PHI,0.0,2.0,0,0,Nola,Ashby,-2.0
2024-06-07,2024,MIL,DET,10.0,0.0,0,1,Myers,Olson,10.0
2024-06-08,2024,MIL,DET,5.0,4.0,0,1,Koenig,Mize,1.0
2024-06-09,2024,MIL,DET,2.0,10.0,0,0,Skubal,Wilson,-8.0
2024-06-10,2024,MIL,TOR,3.0,1.0,1,1,Rea,Berríos,2.0
2024-06-11,2024,MIL,TOR,0.0,3.0,1,0,Kikuchi,Rodriguez,-3.0
2024-06-12,2024,MIL,TOR,5.0,4.0,1,1,Myers,Pop,1.0
2024-06-14,2024,MIL,CIN,5.0,6.0,1,0,Greene,Peralta,-1.0
2024-06-15,2024,MIL,CIN,3.0,1.0,1,1,Wilson,Abbott,2.0
2024-06-16,2024,MIL,CIN,5.0,4.0,1,1,Rea,Sims,1.0
2024-06-17,2024,MIL,LAA,3.0,5.0,0,0,Plesac,Rodriguez,-2.0
2024-06-18,2024,MIL,LAA,6.0,3.0,0,1,Myers,Canning,3.0
2024-06-19,2024,MIL,LAA,2.0,0.0,0,1,Peralta,Anderson,2.0
2024-06-20,2024,MIL,SDP,6.0,7.0,0,0,Estrada,Payamps,-1.0
2024-06-21,2024,MIL,SDP,5.0,9.0,0,0,Kolek,Milner,-4.0
2024-06-22,2024,MIL,SDP,4.0,6.0,0,0,Vásquez,Rodriguez,-2.0
2024-06-23,2024,MIL,SDP,6.0,2.0,0,1,Myers,King,4.0
2024-06-24,2024,MIL,TEX,6.0,3.0,1,1,Peguero,Latz,3.0
2024-06-25,2024,MIL,TEX,3.0,1.0,1,1,Wilson,Heaney,2.0
2024-06-26,2024,MIL,TEX,6.0,5.0,1,1,Koenig,Latz,1.0
2024-06-28,2024,MIL,CHC,4.0,2.0,1,1,Rea,Taillon,2.0
2024-06-29,2024,MIL,CHC,3.0,5.0,1,0,Little,Payamps,-2.0
2024-06-30,2024,MIL,CHC,7.0,1.0,1,1,Peralta,Hendricks,6.0
2024-07-01,2024,MIL,COL,7.0,8.0,0,0,Kinley,Payamps,-1.0
2024-07-02,2024,MIL,COL,4.0,3.0,0,1,Zastryzny,Mears,1.0
2024-07-03,2024,MIL,COL,3.0,0.0,0,1,Rea,Hudson,3.0
2024-07-04,2024,MIL,COL,3.0,4.0,0,0,Molina,Myers,-1.0
2024-07-05,2024,MIL,LAD,5.0,8.0,0,0,Hudson,Peguero,-3.0
2024-07-06,2024,MIL,LAD,3.0,5.0,0,0,Phillips,Hudson,-2.0
2024-07-07,2024,MIL,LAD,9.0,2.0,0,1,Junis,Wrobleski,7.0
2024-07-09,2024,MIL,PIT,2.0,12.0,1,0,Priester,Rea,-10.0
