date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2024-03-29,2024,ATL,PHI,9.0,3.0,0,1,6.0
2024-03-30,2024,ATL,PHI,12.0,4.0,0,1,8.0
2024-03-31,2024,ATL,PHI,4.0,5.0,0,0,-1.0
2024-04-01,2024,ATL,CHW,9.0,0.0,0,1,9.0
2024-04-02,2024,ATL,CHW,2.0,3.0,0,0,-1.0
2024-04-05,2024,ATL,ARI,6.0,5.0,1,1,1.0
2024-04-06,2024,ATL,ARI,9.0,8.0,1,1,1.0
2024-04-07,2024,ATL,ARI,5.0,2.0,1,1,3.0
2024-04-08,2024,ATL,NYM,7.0,8.0,1,0,-1.0
2024-04-09,2024,ATL,NYM,6.0,5.0,1,1,1.0
2024-04-11,2024,ATL,NYM,4.0,16.0,1,0,-12.0
2024-04-12,2024,ATL,MIA,8.0,1.0,0,1,7.0
2024-04-13,2024,ATL,MIA,1.0,5.0,0,0,-4.0
2024-04-14,2024,ATL,MIA,9.0,7.0,0,1,2.0
2024-04-15,2024,ATL,HOU,6.0,1.0,0,1,5.0
2024-04-16,2024,ATL,HOU,6.0,2.0,0,1,4.0
2024-04-17,2024,ATL,HOU,5.0,4.0,0,1,1.0
2024-04-19,2024,ATL,TEX,8.0,3.0,1,1,5.0
2024-04-20,2024,ATL,TEX,5.0,2.0,1,1,3.0
2024-04-21,2024,ATL,TEX,4.0,6.0,1,0,-2.0
2024-04-22,2024,ATL,MIA,3.0,0.0,1,1,3.0
2024-04-23,2024,ATL,MIA,5.0,0.0,1,1,5.0
2024-04-24,2024,ATL,MIA,4.0,3.0,1,1,1.0
2024-04-26,2024,ATL,CLE,6.0,2.0,1,1,4.0
2024-04-27,2024,ATL,CLE,2.0,4.0,1,0,-2.0
2024-04-28,2024,ATL,CLE,4.0,3.0,1,1,1.0
2024-04-29,2024,ATL,SEA,1.0,2.0,0,0,-1.0
2024-04-30,2024,ATL,SEA,2.0,3.0,0,0,-1.0
2024-05-01,2024,ATL,SEA,5.0,2.0,0,1,3.0
2024-05-03,2024,ATL,LAD,3.0,4.0,0,0,-1.0
2024-05-04,2024,ATL,LAD,2.0,11.0,0,0,-9.0
2024-05-05,2024,ATL,LAD,1.0,5.0,0,0,-4.0
2024-05-07,2024,ATL,BOS,4.0,2.0,1,1,2.0
2024-05-08,2024,ATL,BOS,5.0,0.0,1,1,5.0
2024-05-10,2024,ATL,NYM,4.0,2.0,0,1,2.0
2024-05-11,2024,ATL,NYM,4.0,1.0,0,1,3.0
2024-05-12,2024,ATL,NYM,3.0,4.0,0,0,-1.0
2024-05-13,2024,ATL,CHC,2.0,0.0,1,1,2.0
2024-05-14,2024,ATL,CHC,7.0,0.0,1,1,7.0
2024-05-15,2024,ATL,CHC,1.0,7.0,1,0,-6.0
2024-05-17,2024,ATL,SDP,1.0,3.0,1,0,-2.0
2024-05-19,2024,ATL,SDP,1.0,9.0,1,0,-8.0
2024-05-21,2024,ATL,CHC,3.0,4.0,0,0,-1.0
2024-05-22,2024,ATL,CHC,9.0,2.0,0,1,7.0
2024-05-23,2024,ATL,CHC,3.0,0.0,0,1,3.0
2024-05-24,2024,ATL,PIT,5.0,11.0,0,0,-6.0
2024-05-25,2024,ATL,PIT,1.0,4.0,0,0,-3.0
2024-05-26,2024,ATL,PIT,8.0,1.0,0,1,7.0
2024-05-27,2024,ATL,WSN,4.0,8.0,1,0,-4.0
2024-05-28,2024,ATL,WSN,2.0,0.0,1,1,2.0
