date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2021-04-01,2021,TEX,KCR,10.0,14.0,0,0,Hernández,Cody,-4.0
2021-04-03,2021,TEX,KCR,4.0,11.0,0,0,Minor,Sborz,-7.0
2021-04-04,2021,TEX,KCR,7.0,3.0,0,1,Lyles,Singer,4.0
2021-04-05,2021,TEX,TOR,2.0,6.0,1,0,Matz,Foltynewicz,-4.0
2021-04-06,2021,TEX,TOR,7.0,4.0,1,1,Dunning,Roark,3.0
2021-04-07,2021,TEX,TOR,2.0,1.0,1,1,Gibson,Ryu,1.0
2021-04-09,2021,TEX,SDP,0.0,3.0,1,0,Musgrove,Arihara,-3.0
2021-04-10,2021,TEX,SDP,4.0,7.0,1,0,Weathers,Benjamin,-3.0
2021-04-11,2021,TEX,SDP,0.0,2.0,1,0,Stammen,Foltynewicz,-2.0
2021-04-12,2021,TEX,TBR,0.0,1.0,0,0,Glasnow,Hearn,-1.0
2021-04-13,2021,TEX,TBR,8.0,3.0,0,1,Gibson,Yarbrough,5.0
2021-04-14,2021,TEX,TBR,5.0,1.0,0,1,Arihara,Fleming,4.0
2021-04-15,2021,TEX,TBR,6.0,4.0,0,1,Sborz,Reed,2.0
2021-04-16,2021,TEX,BAL,2.0,5.0,1,0,López,Foltynewicz,-3.0
2021-04-17,2021,TEX,BAL,1.0,6.0,1,0,Lakins,Rodríguez,-5.0
2021-04-18,2021,TEX,BAL,1.0,0.0,1,1,King,Lakins,1.0
2021-04-19,2021,TEX,LAA,6.0,4.0,0,1,Arihara,Bundy,2.0
2021-04-20,2021,TEX,LAA,2.0,6.0,0,0,Canning,Lyles,-4.0
2021-04-21,2021,TEX,LAA,7.0,4.0,0,1,King,Mayers,3.0
2021-04-23,2021,TEX,CHW,7.0,9.0,0,0,Heuer,Cody,-2.0
2021-04-24,2021,TEX,CHW,1.0,2.0,0,0,Hendriks,King,-1.0
2021-04-25,2021,TEX,CHW,4.0,8.0,0,0,Kopech,Arihara,-4.0
2021-04-26,2021,TEX,LAA,4.0,9.0,1,0,Ohtani,Lyles,-5.0
2021-04-27,2021,TEX,LAA,6.0,1.0,1,1,Foltynewicz,Quintana,5.0
2021-04-28,2021,TEX,LAA,3.0,4.0,1,0,Rodriguez,Dunning,-1.0
2021-04-29,2021,TEX,BOS,4.0,1.0,1,1,Gibson,Pérez,3.0
2021-04-30,2021,TEX,BOS,1.0,6.0,1,0,Eovaldi,Arihara,-5.0
2021-05-01,2021,TEX,BOS,8.0,6.0,1,1,Sborz,Andriese,2.0
2021-05-02,2021,TEX,BOS,5.0,3.0,1,1,Sborz,Ottavino,2.0
2021-05-03,2021,TEX,MIN,5.0,6.0,0,0,Maeda,Dunning,-1.0
2021-05-04,2021,TEX,MIN,6.0,3.0,0,1,Rodríguez,Waddell,3.0
2021-05-05,2021,TEX,MIN,3.0,1.0,0,1,King,Thorpe,2.0
2021-05-06,2021,TEX,MIN,4.0,3.0,0,1,Hearn,Duffey,1.0
2021-05-07,2021,TEX,SEA,4.0,5.0,1,0,Flexen,Sborz,-1.0
2021-05-08,2021,TEX,SEA,9.0,8.0,1,1,King,Misiewicz,1.0
2021-05-09,2021,TEX,SEA,10.0,2.0,1,1,Dunning,Sheffield,8.0
2021-05-10,2021,TEX,SFG,1.0,3.0,0,0,Wood,King,-2.0
2021-05-11,2021,TEX,SFG,2.0,4.0,0,0,Webb,Lyles,-2.0
2021-05-13,2021,TEX,HOU,3.0,4.0,0,0,Raley,Martin,-1.0
2021-05-14,2021,TEX,HOU,4.0,10.0,0,0,Greinke,Benjamin,-6.0
2021-05-15,2021,TEX,HOU,5.0,6.0,0,0,Garcia,Dunning,-1.0
2021-05-16,2021,TEX,HOU,2.0,6.0,0,0,Raley,Rodríguez,-4.0
2021-05-17,2021,TEX,NYY,5.0,2.0,1,1,Lyles,Cole,3.0
