date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2019-03-28,2019,LAA,OAK,0.0,4.0,0,0,-4.0
2019-03-29,2019,LAA,OAK,6.0,2.0,0,1,4.0
2019-03-30,2019,LAA,OAK,2.0,4.0,0,0,-2.0
2019-03-31,2019,LAA,OAK,1.0,2.0,0,0,-1.0
2019-04-01,2019,LAA,SEA,3.0,6.0,0,0,-3.0
2019-04-02,2019,LAA,SEA,1.0,2.0,0,0,-1.0
2019-04-04,2019,LAA,TEX,4.0,11.0,1,0,-7.0
2019-04-05,2019,LAA,TEX,3.0,1.0,1,1,2.0
2019-04-06,2019,LAA,TEX,5.0,1.0,1,1,4.0
2019-04-07,2019,LAA,TEX,7.0,2.0,1,1,5.0
2019-04-08,2019,LAA,MIL,5.0,2.0,1,1,3.0
2019-04-09,2019,LAA,MIL,11.0,8.0,1,1,3.0
2019-04-10,2019,LAA,MIL,4.0,2.0,1,1,2.0
2019-04-12,2019,LAA,CHC,1.0,5.0,0,0,-4.0
2019-04-13,2019,LAA,CHC,6.0,5.0,0,1,1.0
2019-04-15,2019,LAA,TEX,7.0,12.0,0,0,-5.0
2019-04-16,2019,LAA,TEX,0.0,5.0,0,0,-5.0
2019-04-17,2019,LAA,TEX,4.0,5.0,0,0,-1.0
2019-04-18,2019,LAA,SEA,10.0,11.0,1,0,-1.0
2019-04-19,2019,LAA,SEA,3.0,5.0,1,0,-2.0
2019-04-20,2019,LAA,SEA,5.0,6.0,1,0,-1.0
2019-04-21,2019,LAA,SEA,8.0,6.0,1,1,2.0
2019-04-22,2019,LAA,NYY,3.0,4.0,1,0,-1.0
2019-04-23,2019,LAA,NYY,5.0,7.0,1,0,-2.0
2019-04-24,2019,LAA,NYY,5.0,6.0,1,0,-1.0
2019-04-25,2019,LAA,NYY,11.0,5.0,1,1,6.0
2019-04-26,2019,LAA,KCR,5.0,1.0,0,1,4.0
2019-04-27,2019,LAA,KCR,4.0,9.0,0,0,-5.0
2019-04-28,2019,LAA,KCR,7.0,3.0,0,1,4.0
2019-04-30,2019,LAA,TOR,4.0,3.0,1,1,1.0
2019-05-01,2019,LAA,TOR,6.0,3.0,1,1,3.0
2019-05-02,2019,LAA,TOR,6.0,2.0,1,1,4.0
2019-05-04,2019,LAA,HOU,2.0,14.0,1,0,-12.0
2019-05-05,2019,LAA,HOU,4.0,10.0,1,0,-6.0
2019-05-07,2019,LAA,DET,5.0,2.0,0,1,3.0
2019-05-08,2019,LAA,DET,3.0,10.0,0,0,-7.0
2019-05-09,2019,LAA,DET,13.0,0.0,0,1,13.0
2019-05-10,2019,LAA,BAL,8.0,3.0,0,1,5.0
2019-05-11,2019,LAA,BAL,7.0,2.0,0,1,5.0
2019-05-12,2019,LAA,BAL,1.0,5.0,0,0,-4.0
2019-05-13,2019,LAA,MIN,5.0,4.0,0,1,1.0
2019-05-14,2019,LAA,MIN,3.0,4.0,0,0,-1.0
2019-05-15,2019,LAA,MIN,7.0,8.0,0,0,-1.0
2019-05-17,2019,LAA,KCR,5.0,2.0,1,1,3.0
2019-05-18,2019,LAA,KCR,6.0,3.0,1,1,3.0
2019-05-19,2019,LAA,KCR,1.0,5.0,1,0,-4.0
2019-05-20,2019,LAA,MIN,1.0,3.0,1,0,-2.0
2019-05-21,2019,LAA,MIN,3.0,8.0,1,0,-5.0
2019-05-23,2019,LAA,MIN,7.0,16.0,1,0,-9.0
2019-05-24,2019,LAA,TEX,3.0,4.0,1,0,-1.0
2019-05-25,2019,LAA,TEX,3.0,2.0,1,1,1.0
2019-05-26,2019,LAA,TEX,7.0,6.0,1,1,1.0
2019-05-27,2019,LAA,OAK,5.0,8.0,0,0,-3.0
2019-05-28,2019,LAA,OAK,6.0,4.0,0,1,2.0
2019-05-29,2019,LAA,OAK,12.0,7.0,0,1,5.0
2019-05-30,2019,LAA,SEA,9.0,3.0,0,1,6.0
2019-05-31,2019,LAA,SEA,3.0,4.0,0,0,-1.0
2019-06-01,2019,LAA,SEA,6.0,3.0,0,1,3.0
2019-06-02,2019,LAA,SEA,13.0,3.0,0,1,10.0
2019-06-03,2019,LAA,CHC,1.0,8.0,0,0,-7.0
2019-06-04,2019,LAA,OAK,2.0,4.0,1,0,-2.0
2019-06-05,2019,LAA,OAK,10.0,9.0,1,1,1.0
