date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2020-07-23,2020,SFG,LAD,1.0,8.0,0,0,-7.0
2020-07-24,2020,SFG,LAD,1.0,9.0,0,0,-8.0
2020-07-25,2020,SFG,LAD,5.0,4.0,0,1,1.0
2020-07-26,2020,SFG,LAD,3.0,1.0,0,1,2.0
2020-07-28,2020,SFG,SDP,3.0,5.0,1,0,-2.0
2020-07-29,2020,SFG,SDP,7.0,6.0,1,1,1.0
2020-07-30,2020,SFG,SDP,7.0,12.0,1,0,-5.0
2020-07-31,2020,SFG,TEX,9.0,2.0,1,1,7.0
2020-08-01,2020,SFG,TEX,7.0,3.0,1,1,4.0
2020-08-02,2020,SFG,TEX,5.0,9.0,1,0,-4.0
2020-08-03,2020,SFG,COL,6.0,7.0,0,0,-1.0
2020-08-04,2020,SFG,COL,2.0,5.0,0,0,-3.0
2020-08-05,2020,SFG,COL,4.0,3.0,0,1,1.0
2020-08-06,2020,SFG,COL,4.0,6.0,0,0,-2.0
2020-08-07,2020,SFG,LAD,2.0,7.0,0,0,-5.0
2020-08-08,2020,SFG,LAD,5.0,4.0,0,1,1.0
2020-08-09,2020,SFG,LAD,2.0,6.0,0,0,-4.0
2020-08-10,2020,SFG,HOU,4.0,6.0,0,0,-2.0
2020-08-11,2020,SFG,HOU,7.0,6.0,0,1,1.0
2020-08-12,2020,SFG,HOU,1.0,5.0,0,0,-4.0
2020-08-14,2020,SFG,OAK,7.0,8.0,1,0,-1.0
2020-08-15,2020,SFG,OAK,6.0,7.0,1,0,-1.0
2020-08-16,2020,SFG,OAK,3.0,15.0,1,0,-12.0
2020-08-17,2020,SFG,LAA,6.0,7.0,0,0,-1.0
2020-08-18,2020,SFG,LAA,8.0,2.0,0,1,6.0
2020-08-19,2020,SFG,LAA,7.0,2.0,1,1,5.0
2020-08-20,2020,SFG,LAA,10.0,5.0,1,1,5.0
2020-08-21,2020,SFG,ARI,6.0,2.0,1,1,4.0
2020-08-22,2020,SFG,ARI,5.0,1.0,1,1,4.0
2020-08-23,2020,SFG,ARI,6.0,1.0,1,1,5.0
2020-08-25,2020,SFG,LAD,10.0,8.0,1,1,2.0
2020-08-28,2020,SFG,ARI,4.0,7.0,0,0,-3.0
2020-08-29,2020,SFG,ARI,5.0,2.0,0,1,3.0
2020-08-30,2020,SFG,ARI,4.0,1.0,0,1,3.0
2020-09-01,2020,SFG,COL,23.0,5.0,0,1,18.0
2020-09-02,2020,SFG,COL,6.0,9.0,0,0,-3.0
2020-09-04,2020,SFG,ARI,5.0,6.0,1,0,-1.0
2020-09-05,2020,SFG,ARI,4.0,3.0,1,1,1.0
2020-09-06,2020,SFG,ARI,4.0,2.0,1,1,2.0
2020-09-07,2020,SFG,ARI,4.0,2.0,1,1,2.0
2020-09-08,2020,SFG,SEA,6.0,5.0,1,1,1.0
2020-09-09,2020,SFG,SEA,10.0,1.0,1,1,9.0
2020-09-10,2020,SFG,SDP,1.0,6.0,0,0,-5.0
2020-09-16,2020,SFG,SEA,9.0,3.0,1,1,6.0
2020-09-17,2020,SFG,SEA,6.0,4.0,1,1,2.0
2020-09-18,2020,SFG,OAK,0.0,6.0,0,0,-6.0
2020-09-19,2020,SFG,OAK,0.0,6.0,0,0,-6.0
2020-09-20,2020,SFG,OAK,14.0,2.0,0,1,12.0
2020-09-21,2020,SFG,COL,2.0,7.0,1,0,-5.0
2020-09-22,2020,SFG,COL,5.0,2.0,1,1,3.0
2020-09-23,2020,SFG,COL,7.0,2.0,1,1,5.0
2020-09-24,2020,SFG,COL,4.0,5.0,1,0,-1.0
2020-09-26,2020,SFG,SDP,2.0,6.0,1,0,-4.0
